动作/表情/心情,Overcome the darkness stuck（原形stick）in his mind. ,驱散他脑海中挥之不去的阴霾.
动作/表情/心情,He sat with a deep breath.,他深吸一口气后坐了下来。
动作/表情/心情,Tears spilt（spill的过去式）out of eyes instantly. ,泪水瞬间从眼中涌出。
动作/表情/心情,pick oneself up。但pick sb up常指接人。,自己振作起来
动作/表情/心情,hum a tune,哼着小曲儿
动作/表情/心情,"the closer he ran to the place, the heavier his heart became",他越接近那个地方，心情就越沉重起来。
动作/表情/心情,in a bad mood,代替unhappy
动作/表情/心情,"stepping forward,he said",代替he said…and stepped forward.要善用伴随状语。
动作/表情/心情,it dawned on him,他突然明白了。代替He realized. Dawn黎明、明朗
动作/表情/心情,he was kind of eagerness,他有点着急了。代替he was eager.be kind of有点
动作/表情/心情,give him a thumbs-up,给他竖拇指点赞
动作/表情/心情,her eyes widened,她的眼睛睁大了
动作/表情/心情,a puzzled look,一副困惑的表情
